FirmID,Year,RND_Expenses,Advertising_Spends,Debt_Equity_Ratio,Firm_Size,Profitability
F1,2016,9.723471397657631,5.971532807151039,0.7340279606636548,109.93428306022466,14.55378681849489
F1,2017,10.558082584400275,6.51577292720979,1.5621088666940683,109.93428306022466,12.892782905660514
F1,2018,11.08512008717193,4.304873460781307,0.9563633644393066,109.93428306022466,12.56522179965628
F1,2019,4.774901974612797,6.425554523595355,0.9368437102970628,109.93428306022466,10.134141437541123
F1,2020,10.628494665190548,3.6379638867181834,1.1841049763255538,109.93428306022466,11.190376488502505
F2,2016,11.195440933825216,8.839232046556688,0.5696756190799965,87.41050078151498,13.780768924636444
F2,2017,7.698012845155395,5.563547027518508,0.5975773894779193,87.41050078151498,10.399024957391966
F2,2018,11.894879642093278,5.436551001893274,1.1602287406094018,87.41050078151498,11.891836708084524
F2,2019,9.973005550524132,3.4134336065661497,0.5515827816728276,87.41050078151498,11.043990331088725
F2,2020,10.778697826512246,3.102321329116037,1.2801020317667162,87.41050078151498,12.448672426419787
F3,2016,10.393722471738247,6.107699869993116,0.6327387530778792,73.43627902203139,11.706433431369199
F3,2017,7.981829314269785,2.6250586796946687,0.9070235476608439,73.43627902203139,9.010019800225928
F3,2018,12.11424445243783,5.515427434352692,0.711386337462144,73.43627902203139,10.266822539527347
F3,2019,11.164245589426079,6.331622689390036,1.5935107520614809,73.43627902203139,10.879079320054077
F3,2020,9.38157524829757,5.496895147105346,0.9963470372789738,73.43627902203139,11.849788314218767
F4,2016,9.179233382627398,6.769574517051051,1.4563362070328196,96.4453575745869,11.335358406033377
F4,2017,9.855979756839332,6.5052993468380365,0.6793913689074526,96.4453575745869,13.553334845490786
F4,2018,11.591190927791883,7.2431513793252105,1.2406933945465861,96.4453575745869,13.721732236727664
F4,2019,4.760509791820511,6.232853756562836,0.5381286901161428,96.4453575745869,9.06995172581177
F4,2020,12.084983234678841,6.355298735938764,0.8739383437233124,96.4453575745869,13.4070634557
F5,2016,8.963459563452705,3.7872595956602186,1.8945464785138597,129.55788089483033,12.318789409533357
F5,2017,11.00289666304961,6.737279979398042,1.8071908852815766,129.55788089483033,14.009038322957418
F5,2018,11.026534866226712,5.14561632402206,1.7111602327460937,129.55788089483033,15.05860583242249
F5,2019,9.381422907110844,6.009688254160963,0.6650778867915151,129.55788089483033,13.508245953343684
F5,2020,7.072970103735763,5.444180415596864,0.510428195796786,129.55788089483033,13.099305843935413
F6,2016,10.691035887777533,4.40672532262956,1.006422757105442,46.8964790487306,9.452834496445382
F6,2017,9.677428576667982,5.606076285221808,1.278185932615049,46.8964790487306,8.698924273679992
F6,2018,12.807917477318586,4.97217379323254,0.9513174647251545,46.8964790487306,9.095874966398473
F6,2019,10.120460419882052,8.69486316872793,0.5772181268749841,46.8964790487306,11.36377754506626
F6,2020,9.481942710522219,4.137936188579901,1.2341791404163445,46.8964790487306,8.710647844796236
F7,2016,11.503866065373549,6.18654792056457,1.05167469907888,122.85645629030041,13.480611222223295
F7,2017,12.810410611756376,7.088488630237855,1.3036620261121377,122.85645629030041,14.142264917935814
F7,2018,8.867404540794457,5.1494770476314615,1.5163465427634235,122.85645629030041,12.427882782453358
F7,2019,10.018288691480274,4.451691054751186,0.8397436627969069,122.85645629030041,12.255393161247
F7,2020,10.947184861270363,3.620863648649295,1.9050949831051018,122.85645629030041,14.776871262014476
F8,2016,8.228975252342302,4.464882461347709,1.4899760690512687,92.23471202046771,11.50091702508833
F8,2017,10.45491986920826,6.960714131423642,1.2944758675340098,92.23471202046771,12.298531656798087
F8,2018,9.58826656580899,2.8399378284743033,1.0238143619189914,92.23471202046771,12.284987959619116
F8,2019,11.043883131233795,5.445477009849779,1.830629636397676,92.23471202046771,12.914446874703449
F8,2020,12.43414159396022,5.339432404248313,0.5137955774249445,92.23471202046771,13.931864276973617
F9,2016,8.571297163947264,7.798661766717135,1.4779418892539007,105.86144946597362,13.239434411953736
F9,2017,11.469002129760092,3.5682541070578693,0.8558736312452001,105.86144946597362,13.938570410078444
F9,2018,8.358635363296578,6.445064193866482,1.486419338450515,105.86144946597362,12.685542936023653
F9,2019,8.26471782004125,5.218792778642464,1.0515737045891502,105.86144946597362,11.064768264364568
F9,2020,8.368379430069123,4.884347435878844,1.83806983276567,105.86144946597362,12.079266484353493
F10,2016,11.075920007383992,9.101633238592612,1.2387765407282958,124.18763941373268,15.216250067224301
F10,2017,11.251334695530012,3.7142636653755763,0.9211585436612837,124.18763941373268,13.68194330424908
F10,2018,9.725456365804368,4.813801416677511,1.9499822285655044,124.18763941373268,13.894049314246272
F10,2019,8.30641256386319,2.727729162971203,1.7767050072752855,124.18763941373268,11.068878124456736
F10,2020,8.974069364728756,6.065163860545931,1.5440446950124596,124.18763941373268,13.402228807290523
